",""num_police"",""cout_sin"""
1,2543,4169
2,36571,1313
3,82641,1396
4,89686,1260
5,5824,2096
6,51678,1740
7,75806,1757
8,40306,2334
9,89954,2187
10,34504,4465
11,96782,2121
12,84467,1529
13,16143,2678
14,89628,2644
15,6644,2863
16,99867,2568
17,55732,1272
18,7584,1953
19,33133,2371
20,85305,1204
21,43905,2076
22,8244,2851
23,56023,1300
24,78043,1856
25,167,3955
26,59723,2192
27,3588,2487
28,50423,2176
29,1543,2677
30,59054,1261
31,66545,2263
32,59638,2716
33,65226,2607
34,23081,1350
35,56798,1303
36,752,4748
37,91120,2411
38,81904,3480
39,69661,5093
40,35818,2340
41,27324,2385
42,19131,1932
43,42176,3579
44,62621,1533
45,39580,1326
46,85007,2886
47,4978,2308
48,33323,4107
49,64040,1208
50,35838,1578
51,24255,1717
52,91462,2020
53,6674,2590
54,44983,1608
55,12245,1369
56,8156,2298
57,57541,2623
58,3126,2062
59,6036,4229
60,79152,1556
61,86795,1702
62,62342,2744
63,12558,1367
64,78642,1760
65,306,1450
66,14763,2988
67,18170,1238
68,76447,1725
69,35277,1674
70,12158,1946
71,46407,1344
72,90653,3574
73,26263,2666
74,37208,2102
75,16156,2372
76,62760,1286
77,36338,2039
78,28407,2288
79,37921,1400
80,22423,1278
81,12618,1936
82,65192,1708
83,36856,1277
84,24538,1259
85,40813,1209
86,71037,1777
87,25274,2910
88,53303,1705
89,84479,2654
90,74026,1457
91,43106,1380
92,42589,1242
93,39082,1515
94,60196,1729
95,45639,1260
96,54318,1531
97,70079,1427
98,3990,1728
99,84110,1563
100,18721,1649
101,32249,4047
102,22546,1804
103,72076,2142
104,54069,1706
105,74462,2096
106,4189,2078
107,84246,2332
108,94894,2933
109,27442,1238
110,77045,1328
111,62296,1243
112,9827,1440
113,66557,4855
114,16348,3760
115,94941,1493
116,82389,1958
117,47229,1362
118,17047,2638
119,65426,2927
120,88186,2680
121,10848,3438
122,18375,2620
123,5822,1873
124,62692,1630
125,21446,2790
126,59914,1954
127,13383,1813
128,97526,2263
129,67409,1899
130,12924,2620
131,48801,1729
132,63469,1380
133,48687,4851
134,30590,2031
135,21672,2797
136,37462,1613
137,21452,2047
138,84563,2718
139,47399,2291
140,60253,1479
141,33370,2447
142,27547,1698
143,29824,1442
144,8778,1308
145,38501,1312
146,99107,1281
147,67382,2055
148,99943,2261
149,1171,2540
150,78774,1925
151,70488,3688
152,58633,2570
153,74599,1508
154,9646,2618
155,73341,1848
156,58330,1990
157,84936,1331
158,48740,2964
159,30314,1720
160,32973,1970
161,78347,2112
162,13430,1254
163,10847,1330
164,25564,6264
165,41853,1279
166,43881,2426
167,32569,2526
168,60634,1260
169,42928,4753
170,96582,1272
171,2432,1819
172,71151,1273
173,69015,1640
174,15990,1957
175,46754,1371
176,7396,1553
177,96158,1673
178,94132,1248
179,20595,1946
180,87607,2021
181,48278,5033
182,32150,2455
183,27823,3839
184,49071,1797
185,17570,2713
186,93061,1649
187,12623,1348
188,18846,2439
189,27137,1954
190,18724,2002
191,11681,2677
192,4281,1498
193,63493,1442
194,36708,1996
195,74211,2160
196,45134,1341
197,83543,2405
198,4143,1313
199,94251,1620
200,83168,2714
201,82961,2040
202,93765,1843
203,25721,1926
204,36643,3779
205,49033,2651
206,92796,1843
207,44430,3228
208,59874,1894
209,95451,2382
210,65915,1298
211,25412,1712
212,52414,3039
213,43278,3385
214,11096,1477
215,95256,3143
216,6810,1683
217,33321,1837
218,94758,1572
219,87643,1407
220,18131,2289
221,52177,4389
222,29306,1529
223,12905,1741
224,58020,3622
225,70303,2849
226,39645,1934
227,8138,1860
228,79187,3318
229,38863,1632
230,32336,2214
231,29775,2033
232,18748,2916
233,67505,1484
234,81775,1672
235,12381,3376
236,49623,2210
237,6995,1795
238,69665,1303
239,15604,1584
240,4156,1496
241,25786,1536
242,80851,1431
243,15178,1407
244,68000,1475
245,95021,1842
246,32483,1776
247,94934,1753
248,52613,1589
249,85951,1278
250,770,2795
251,6623,2553
252,2799,2267
253,48579,1699
254,17492,2115
255,58568,1419
256,95109,2521
257,28226,3204
258,56128,1596
259,95161,1793
260,31796,2037
261,65114,2879
262,23808,1859
263,81857,2289
264,6770,1469
265,41443,2938
266,48541,1449
267,39977,1788
268,88995,2096
269,70263,2135
270,51069,2301
271,69631,2307
272,82323,1326
273,65576,3284
274,56404,1841
275,42517,2014
276,75070,1646
277,43430,1846
278,97964,1211
279,14466,2091
280,84421,2965
281,15040,1374
282,59082,1308
283,70315,2897
284,93519,2619
285,14681,2130
286,47705,1915
287,97475,3785
288,30151,1358
289,81272,1779
290,51677,2564
291,66079,2248
292,91140,1861
293,91841,2141
294,88386,2516
295,87220,1721
296,11303,1511
297,16794,3270
298,35644,1484
299,65170,2259
300,6590,2370
301,75418,2232
302,58021,1355
303,66751,2321
304,153,2178
305,39787,1911
306,48913,1811
307,76955,1321
308,78430,1335
309,26650,1317
310,78131,2372
311,55442,1651
312,77352,2086
313,50812,1830
314,32646,2163
315,70980,2356
316,57348,1956
317,78516,2050
318,58887,1679
319,18140,1282
320,35707,1733
321,81462,2636
322,69036,1570
323,62227,1253
324,29203,3452
325,5513,1561
326,67908,1955
327,47206,2408
328,75456,1228
329,49433,2714
330,87425,1572
331,70377,2177
332,49209,1673
333,69809,1279
334,16115,1574
335,2135,2632
336,2108,1807
337,37366,2383
338,79213,1378
339,79834,3440
340,75485,2110
341,89270,1347
342,89974,3294
343,39981,1847
344,96456,2657
345,88422,3324
346,92193,1622
347,61445,2817
348,45666,1218
349,96258,1898
350,41813,2416
351,7476,3112
352,39950,2098
353,84323,1433
354,4675,3597
355,38303,3074
356,14122,2832
357,48167,2517
358,68617,1839
359,53721,1554
360,17972,1384
361,65200,3924
362,71805,2836
363,42889,1320
364,14163,1254
365,86383,2803
366,45786,1784
367,9884,4386
368,60599,2325
369,17065,1564
370,96764,2507
371,92385,6653
372,16663,1504
373,21394,1883
374,21169,1292
375,28025,4186
376,75081,1296
377,69100,2189
378,33687,1478
379,40762,1681
380,43478,1304
381,33765,1745
382,7224,2630
383,81780,2115
384,21510,1589
385,80200,1654
386,60831,2379
387,6639,3248
388,13398,1502
389,55311,1415
390,67020,6294
391,59177,2632
392,64609,2279
393,18643,1458
394,67873,2385
395,44585,2259
396,90268,1546
397,98112,2728
398,66021,1745
399,72795,1629
400,42059,2376
401,44030,2335
402,81415,2806
403,37852,1540
404,13848,2066
405,33934,2463
406,27539,3105
407,13099,1365
408,63555,2176
409,25999,2464
410,99622,3380
411,12147,2001
412,50145,1751
413,38372,1943
414,54460,1579
415,69407,1469
416,77191,2141
417,8110,1324
418,45441,1960
419,7746,3464
420,9227,1385
421,86869,3759
422,12819,1903
423,41395,1356
424,51335,2529
425,90517,1885
426,45743,2663
427,67118,1201
428,46286,1428
429,41534,1566
430,75042,1658
431,46808,1681
432,2913,2021
433,17614,2402
434,58874,1385
435,52975,2598
436,60397,2224
437,73346,1247
438,17801,1603
439,62560,1247
440,17677,2073
441,19474,1725
442,61632,1448
443,20037,2651
444,17392,3390
445,37274,2876
446,17502,1666
447,40833,1466
448,12607,1262
449,83293,1309
450,46479,2131
451,26798,3373
452,29067,2166
453,61863,2197
454,929,1862
455,62492,1747
456,25909,1500
457,74874,2597
458,67830,1948
459,24225,2712
460,94754,1725
461,79637,1565
462,95399,3241
463,80248,2150
464,52310,1518
465,68266,1920
466,23162,3384
467,4557,1592
468,94934,2260
469,7560,1597
470,56889,5695
471,52005,1763
472,20501,2185
473,79171,1953
474,57183,1366
475,74386,1723
476,69502,4980
477,21863,2239
478,42036,1922
479,39340,2783
480,12505,1530
481,7606,3534
482,47243,3698
483,56951,2735
484,66807,6504
485,62524,1663
486,57499,3512
487,54809,1405
488,19158,1734
489,73303,2753
490,4959,3759
491,94210,1595
492,96526,1968
493,39111,1982
494,56444,3382
495,30650,1418
496,95707,1666
497,19499,3378
498,55735,1909
499,3881,1675
500,86132,1261
501,74451,1670
502,80411,1560
503,93516,1697
504,88951,2044
505,73130,1977
506,51378,1838
507,10883,1515
508,66553,2586
509,83656,3639
510,15783,2904
511,97283,1828
512,41888,1396
513,54475,1760
514,67324,1583
515,78869,2821
516,76369,2148
517,82752,2807
518,815,2040
519,86802,1604
520,88209,1735
521,85419,2214
522,3308,3296
523,36088,1477
524,28381,1321
525,80120,3056
526,75655,2505
527,82594,1416
528,58677,3496
529,188,3194
530,66421,1827
531,97606,3118
532,23393,1925
533,66828,1682
534,1872,1346
535,62699,1340
536,46051,1325
537,52336,2438
538,47980,2355
539,80413,1492
540,17664,2513
541,94230,1238
542,22666,2269
543,95920,3535
544,23102,2206
545,61728,2102
546,11453,1524
547,27323,1366
548,59757,1898
549,26694,2169
550,63161,1617
551,76773,2822
552,77445,4653
553,70374,2130
554,74239,1957
555,11594,2148
556,90352,1473
557,48483,1303
558,20618,4442
559,9024,1289
560,39547,2240
561,8005,2338
562,35557,1685
563,11585,5513
564,99254,2063
565,10454,2719
566,47117,1882
567,17717,2071
568,17892,2069
569,563,3124
570,96880,2478
571,39611,4113
572,54432,1796
573,57244,1822
574,68445,2296
575,56095,2769
576,45031,1702
577,48804,1941
578,25209,2689
579,28814,2780
580,54707,1954
581,13119,1959
582,18000,1911
583,80729,4161
584,25958,2731
585,79954,2281
586,90794,2226
587,68256,3474
588,81564,1347
589,82188,2843
590,56548,1368
591,30859,4247
592,45404,1296
593,27204,2393
594,80872,1880
595,1719,2119
596,9554,2566
597,20577,1327
598,37956,2775
599,72217,4339
600,80908,4396
601,42857,1506
602,69930,1373
603,89603,1637
604,85035,1504
605,75076,2281
606,58993,2340
607,56288,1395
608,4334,1603
609,63077,2967
610,81489,2564
611,50060,1841
612,47718,1881
613,90066,2568
614,77090,4352
615,61023,1824
616,67065,2471
617,14764,2565
618,60803,1878
619,21533,2471
620,11752,1423
621,85469,4173
622,98329,4896
623,95582,2433
624,15966,2780
625,87401,1997
626,93372,1401
627,66309,1424
628,58175,2563
629,12912,1746
630,52803,1809
631,77590,3881
632,34182,1489
633,15232,1676
634,39494,1425
635,58571,2812
636,50219,2314
637,41436,1284
638,74822,2707
639,97346,1704
640,46547,3369
641,50305,2725
